two_theta_deg,intensity_raw,intensity_smoothed
13.720375,309.6457,264.1686
13.737121,356.6929,296.5457
13.753867,386.4173,333.4662
13.770613,434.1535,374.2126
13.787359,475.3937,424.2431
13.804105,540.2559,484.4220
13.820852,612.4016,556.2811
13.837598,693.2087,651.7223
13.854344,835.5315,768.8038
13.871090,962.5984,916.8181
13.887836,1153.9370,1102.1775
13.904582,1389.5669,1331.9168
13.921328,1645.6693,1607.6343
13.938075,1986.2205,1937.7817
13.954821,2382.8740,2339.7418
13.971567,2824.3110,2840.2612
13.988313,3326.5748,3442.2625
14.005059,3920.6693,4058.4143
14.021805,4534.8425,4533.9298
14.038552,5092.0276,4749.3824
14.055298,5178.2480,4628.9629
14.072044,4546.9488,4169.3434
14.088790,3453.6417,3441.5391
14.105536,2372.9331,2571.5888
14.122282,1467.0276,1715.0600
14.139029,886.8110,1027.2587
14.155775,594.5866,587.9960
14.172521,457.1850,364.1367
14.189267,404.4291,275.6773
14.206013,352.3622,254.7306
14.222759,326.0827,249.1112
14.239505,293.2087,237.7932
14.256252,279.9213,222.2285
14.272998,252.6575,203.0328
14.289744,243.4055,187.0214
14.306490,224.2126,170.1345
14.323236,210.7283,155.4795
14.339982,188.6811,140.8930
14.356729,183.2677,130.1858
14.373475,168.5039,119.9679
14.390221,166.2402,113.9344
14.406967,160.8268,109.8427
14.423713,162.0079,106.3371
14.440459,155.3150,103.2625
14.457206,157.7756,100.9865
14.473952,150.1969,99.3562
14.490698,144.3898,99.1591
14.507444,153.1496,99.0736
14.524190,150.8858,101.1176
14.540936,159.6457,101.4647
14.557682,158.2677,104.0985
14.574429,157.2835,107.0244
14.591175,161.6142,111.1012
14.607921,156.6929,114.3040
14.624667,173.2283,115.6705
14.641413,175.4921,117.9111
14.658159,178.4449,117.6062
14.674906,160.7283,117.8611
14.691652,163.4843,115.8611
14.708398,164.5669,110.1522
14.725144,155.6102,105.0578
14.741890,162.5984,98.4328
14.758636,140.9449,93.4149
14.775382,136.2205,86.1294
14.792129,131.8898,80.6573
14.808875,123.0315,77.1901
14.825621,129.3307,74.2697
14.842367,125.8858,73.8522
14.859113,130.2165,72.8879
14.875859,125.6890,72.1654
14.892606,122.4409,72.5926
14.909352,119.5866,71.6189
14.926098,125.6890,73.0967
14.942844,125.9843,74.5210
14.959590,131.2008,76.2752
14.976336,128.7402,77.5180
14.993083,135.7283,77.8497
15.009829,128.7402,78.1101
15.026575,126.0827,78.4534
15.043321,129.1339,78.4403
